aazhookana,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/aazookana-adv-loc,
mishawashkode,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/mishawashkode-ni,
aaniish apii,ADVInter,https://ojibwe.lib.umn.edu/main-entry/aaniish-apii-adv-inter-18f7c89a-93de-427f-9879-25d8d19b4efe,
wekwaagam,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/wekwaagam-adv-loc-b0af529b-7426-4ca9-bd5a-a8a096bad439,
neniibowa,ADVQnt,https://ojibwe.lib.umn.edu/main-entry/niibowa-adv-qnt,
mizhishawaya'ii,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/mizhishawaya-ii,
jaajiigibiig,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/jiigibiig-adv-loc,
aapidek,ADVDisc,https://ojibwe.lib.umn.edu/main-entry/aapideg-adv-man,
memaamawi,ADVMan,https://ojibwe.lib.umn.edu/main-entry/maamawi-adv-man,
gegabe-giizhik,ADVTmp,https://ojibwe.lib.umn.edu/main-entry/gabe-giizhik-adv-tmp,
enigok,ADVDeg,https://ojibwe.lib.umn.edu/main-entry/enigok-adv-man,
owiinge,ADVDeg,https://ojibwe.lib.umn.edu/main-entry/owiinge-adv-gram,
naaweg,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/naaweg-adv-num,
bebakaan,ADVMan,https://ojibwe.lib.umn.edu/main-entry/bakaan-adv-man,
ishkwaaj,ADVTmp,https://ojibwe.lib.umn.edu/main-entry/ishkwaaj-adv-man,
jiigishkwaandeng,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/jiigishkwaandeming-adv-loc,
ishpaya'ii,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/ishpaya-ii-adv-loc-ea1383a7-51f8-41ef-9064-914596e76c65,
bagwaj-aya'ii,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/bagwajaya-ii-adv-loc,
zezika,ADVTmp,https://ojibwe.lib.umn.edu/main-entry/zesika-adv-tmp,
dabazhiish,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/dabazhiish-adv-loc-0161f8d8-857b-431c-aac3-40bd04b43601,
odaanaang,ADVLoc,https://ojibwe.lib.umn.edu/main-entry/odaanaang-adv-tmp,
aayaanind,ADVQnt,https://ojibwe.lib.umn.edu/main-entry/aanind-adv-qnt,
eniwek,ADVDeg,https://ojibwe.lib.umn.edu/main-entry/eniwek-adv-man,
endaso-biboon,ADVTmp,https://ojibwe.lib.umn.edu/main-entry/endaso-biboon,
aayaazhoogaadebi,VAI,https://ojibwe.lib.umn.edu/main-entry/aazhoogaadebi-vai,
aazhogebide,VII,https://ojibwe.lib.umn.edu/main-entry/aazhigebide-vii,
aayaazhigijise,VII,https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vii,
waasamoog,VAIPL,https://ojibwe.lib.umn.edu/main-entry/waasamowag-vai,
waasenaagwad,VII,https://ojibwe.lib.umn.edu/main-entry/waasenaagwad-vii-66e79640-1e0f-464b-a554-3c9634787f5a,
babazigwiiwag,VAIPL,https://ojibwe.lib.umn.edu/main-entry/babazigwii-vai,
aayaazhawiwebinamaw,VTA,https://ojibwe.lib.umn.edu/main-entry/aazhawiwebinamaw-vta,
babimibiisaa,VII,https://ojibwe.lib.umn.edu/main-entry/bimibiisaa-vii,
waasiingwaagani-giizhigad,VII,https://ojibwe.lib.umn.edu/main-entry/waasiingwaagani-giizhigad-ni,
wawaasese,VII,https://ojibwe.lib.umn.edu/main-entry/waasese-vii,
aayaazhikwe,VAI,https://ojibwe.lib.umn.edu/main-entry/aazhikwe-vai,
waanajitoon,VTI,https://ojibwe.lib.umn.edu/main-entry/waanajitoon-vti,
waaseyaagonagaa,VII,https://ojibwe.lib.umn.edu/main-entry/waaaseyaagonagaa-vii,
waawaasawad,VII,https://ojibwe.lib.umn.edu/main-entry/waasawad-vii,
aayaazhigijise,VAI,https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vai,
babimaazhagaame,VAI,https://ojibwe.lib.umn.edu/main-entry/bimaazhagaame-vai,
babaamaadaga'oodoon,VTI,https://ojibwe.lib.umn.edu/main-entry/babaamaadaga-oodoon-vti,
aayaazhoge,VAI,https://ojibwe.lib.umn.edu/main-entry/aazhoge-vai,
ayizhiwane,VAI,https://ojibwe.lib.umn.edu/main-entry/izhiwane-vai,
babawaajige,VAI,https://ojibwe.lib.umn.edu/main-entry/bawaajige-vai,
baabiinisigaade,VAI,https://ojibwe.lib.umn.edu/main-entry/biinisigaade-vai,
gwayakomaagwad,VII,https://ojibwe.lib.umn.edu/main-entry/gwayakomaagwad-vai,
naanookaawan,VIIPL,https://ojibwe.lib.umn.edu/main-entry/nookaa-vii,
aayaajim,VTA,https://ojibwe.lib.umn.edu/main-entry/aajim-vta,
wewebinige,VAI,https://ojibwe.lib.umn.edu/main-entry/webinige-vai,
babagidinan,VTA,https://ojibwe.lib.umn.edu/main-entry/bagidin-vta,
niishtana-shi-niiwaginzo,VAI,https://ojibwe.lib.umn.edu/main-entry/niishtana-ashi-niiwaginzo-vai,
gaagiizhigin,VII,https://ojibwe.lib.umn.edu/main-entry/giizhigin-vii,
ayininamaadiwag,VAI,https://ojibwe.lib.umn.edu/main-entry/ininamaadiwag-vai,
wawanichige,VAI,https://ojibwe.lib.umn.edu/main-entry/wanichige-vai,
wewendaginde,VII,https://ojibwe.lib.umn.edu/main-entry/wendaginde-vii,
naaniibideshinoog,VAIPL,https://ojibwe.lib.umn.edu/main-entry/niibideshinoog-vai,
andoobiigam,VTA,https://ojibwe.lib.umn.edu/main-entry/nandoobiigam-vta,
